Pkey,Year,Quarter,Year ending,Main accommodation used,Total visitors
223,2007,4,YEDec 2007,  Backpackers,154246
224,2007,4,YEDec 2007,  Bed and Breakfast,40244
225,2007,4,YEDec 2007,  Camping at a National Park / Department of Conservation camping ground,1295
226,2007,4,YEDec 2007,  Farm-stay or Home-stay,13121
227,2007,4,YEDec 2007,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",11793
228,2007,4,YEDec 2007,  Hotel,769445
229,2007,4,YEDec 2007,  House / flat that you paid some rent for,32900
230,2007,4,YEDec 2007,  In a hut at a National Park / Department of Conservation area,10538
231,2007,4,YEDec 2007,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",32805
232,2007,4,YEDec 2007,  Marae,189
233,2007,4,YEDec 2007,"  Motel, Motor Inn or Serviced Apartment",291750
234,2007,4,YEDec 2007,  NOT SURE,44272
235,2007,4,YEDec 2007,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",83839
236,2007,4,YEDec 2007,  Other,
237,2007,4,YEDec 2007,  Private Hotel / Guesthouse,5182
238,2007,4,YEDec 2007,  Staying with family or friends,654340
239,2007,4,YEDec 2007,  Student residence,6033
240,2007,4,YEDec 2007,  Unknown,
241,2007,4,YEDec 2007,  Yacht or other boat,32643
242,2007,4,YEDec 2007,"  Youth Hostel, YMCA, YWCA",263
243,2008,4,YEDec 2008,  A house you own,
244,2008,4,YEDec 2008,  Another place where you pay to park a caravan or campervan / motorhome overnight,
245,2008,4,YEDec 2008,  Backpackers,153903
246,2008,4,YEDec 2008,  Bed and Breakfast,39670
247,2008,4,YEDec 2008,  Camping at a National Park / Department of Conservation camping ground,8106
248,2008,4,YEDec 2008,  Farm-stay or Home-stay,15179
249,2008,4,YEDec 2008,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",12970
250,2008,4,YEDec 2008,  Hotel,702246
251,2008,4,YEDec 2008,  House / flat that you paid some rent for,29529
252,2008,4,YEDec 2008,  In a hut at a National Park / Department of Conservation area,11490
253,2008,4,YEDec 2008,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",27707
254,2008,4,YEDec 2008,  Marae,4247
255,2008,4,YEDec 2008,"  Motel, Motor Inn or Serviced Apartment",309096
256,2008,4,YEDec 2008,  NOT SURE,32712
257,2008,4,YEDec 2008,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",83522
258,2008,4,YEDec 2008,  Other,
259,2008,4,YEDec 2008,  Private Hotel / Guesthouse,15267
260,2008,4,YEDec 2008,  Staying with family or friends,674127
261,2008,4,YEDec 2008,  Student residence,4117
262,2008,4,YEDec 2008,  Unknown,
263,2008,4,YEDec 2008,  Yacht or other boat,41822
264,2008,4,YEDec 2008,"  Youth Hostel, YMCA, YWCA",4575
265,2009,4,YEDec 2009,  A house you own,
266,2009,4,YEDec 2009,  Another place where you pay to park a caravan or campervan / motorhome overnight,
267,2009,4,YEDec 2009,  Backpackers,152041
268,2009,4,YEDec 2009,  Bed and Breakfast,34680
269,2009,4,YEDec 2009,  Camping at a National Park / Department of Conservation camping ground,6147
270,2009,4,YEDec 2009,  Farm-stay or Home-stay,13391
271,2009,4,YEDec 2009,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",15210
272,2009,4,YEDec 2009,  Hotel,694960
273,2009,4,YEDec 2009,  House / flat that you paid some rent for,40217
274,2009,4,YEDec 2009,  In a hut at a National Park / Department of Conservation area,11153
275,2009,4,YEDec 2009,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",35617
276,2009,4,YEDec 2009,  Marae,5166
277,2009,4,YEDec 2009,"  Motel, Motor Inn or Serviced Apartment",258419
278,2009,4,YEDec 2009,  NOT SURE,40935
279,2009,4,YEDec 2009,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",80711
280,2009,4,YEDec 2009,  Other,
281,2009,4,YEDec 2009,  Private Hotel / Guesthouse,7855
282,2009,4,YEDec 2009,  Staying with family or friends,734027
283,2009,4,YEDec 2009,  Student residence,1976
284,2009,4,YEDec 2009,  Unknown,
285,2009,4,YEDec 2009,  Yacht or other boat,18275
286,2009,4,YEDec 2009,"  Youth Hostel, YMCA, YWCA",2604
287,2010,4,YEDec 2010,  A house you own,
288,2010,4,YEDec 2010,  Another place where you pay to park a caravan or campervan / motorhome overnight,
289,2010,4,YEDec 2010,  Backpackers,149662
290,2010,4,YEDec 2010,  Bed and Breakfast,34286
291,2010,4,YEDec 2010,  Camping at a National Park / Department of Conservation camping ground,8060
292,2010,4,YEDec 2010,  Farm-stay or Home-stay,12417
293,2010,4,YEDec 2010,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",18255
294,2010,4,YEDec 2010,  Hotel,739571
295,2010,4,YEDec 2010,  House / flat that you paid some rent for,48603
296,2010,4,YEDec 2010,  In a hut at a National Park / Department of Conservation area,9859
297,2010,4,YEDec 2010,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",28687
298,2010,4,YEDec 2010,  Marae,2780
299,2010,4,YEDec 2010,"  Motel, Motor Inn or Serviced Apartment",279746
300,2010,4,YEDec 2010,  NOT SURE,66992
301,2010,4,YEDec 2010,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",81108
302,2010,4,YEDec 2010,  Other,
303,2010,4,YEDec 2010,  Private Hotel / Guesthouse,10964
304,2010,4,YEDec 2010,  Staying with family or friends,711510
305,2010,4,YEDec 2010,  Student residence,5507
306,2010,4,YEDec 2010,  Unknown,
307,2010,4,YEDec 2010,  Yacht or other boat,27169
308,2010,4,YEDec 2010,"  Youth Hostel, YMCA, YWCA",2505
309,2011,4,YEDec 2011,  A house you own,
310,2011,4,YEDec 2011,  Another place where you pay to park a caravan or campervan / motorhome overnight,
311,2011,4,YEDec 2011,  Backpackers,153357
312,2011,4,YEDec 2011,  Bed and Breakfast,40507
313,2011,4,YEDec 2011,  Camping at a National Park / Department of Conservation camping ground,11223
314,2011,4,YEDec 2011,  Farm-stay or Home-stay,14685
315,2011,4,YEDec 2011,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",24226
316,2011,4,YEDec 2011,  Hotel,707736
317,2011,4,YEDec 2011,  House / flat that you paid some rent for,60419
318,2011,4,YEDec 2011,  In a hut at a National Park / Department of Conservation area,11006
319,2011,4,YEDec 2011,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",32309
320,2011,4,YEDec 2011,  Marae,4797
321,2011,4,YEDec 2011,"  Motel, Motor Inn or Serviced Apartment",291840
322,2011,4,YEDec 2011,  NOT SURE,61744
323,2011,4,YEDec 2011,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",77773
324,2011,4,YEDec 2011,  Other,
325,2011,4,YEDec 2011,  Private Hotel / Guesthouse,13112
326,2011,4,YEDec 2011,  Staying with family or friends,781789
327,2011,4,YEDec 2011,  Student residence,5575
328,2011,4,YEDec 2011,  Unknown,
329,2011,4,YEDec 2011,  Yacht or other boat,22811
330,2011,4,YEDec 2011,"  Youth Hostel, YMCA, YWCA",929
331,2012,4,YEDec 2012,  A house you own,
332,2012,4,YEDec 2012,  Another place where you pay to park a caravan or campervan / motorhome overnight,
333,2012,4,YEDec 2012,  Backpackers,123883
334,2012,4,YEDec 2012,  Bed and Breakfast,33735
335,2012,4,YEDec 2012,  Camping at a National Park / Department of Conservation camping ground,9844
336,2012,4,YEDec 2012,  Farm-stay or Home-stay,7134
337,2012,4,YEDec 2012,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",16547
338,2012,4,YEDec 2012,  Hotel,772905
339,2012,4,YEDec 2012,  House / flat that you paid some rent for,57931
340,2012,4,YEDec 2012,  In a hut at a National Park / Department of Conservation area,12892
341,2012,4,YEDec 2012,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",30178
342,2012,4,YEDec 2012,  Marae,3690
343,2012,4,YEDec 2012,"  Motel, Motor Inn or Serviced Apartment",283200
344,2012,4,YEDec 2012,  NOT SURE,54306
345,2012,4,YEDec 2012,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",66684
346,2012,4,YEDec 2012,  Other,
347,2012,4,YEDec 2012,  Private Hotel / Guesthouse,11616
348,2012,4,YEDec 2012,  Staying with family or friends,785865
349,2012,4,YEDec 2012,  Student residence,2675
350,2012,4,YEDec 2012,  Unknown,
351,2012,4,YEDec 2012,  Yacht or other boat,12556
352,2012,4,YEDec 2012,"  Youth Hostel, YMCA, YWCA",2168
353,2013,4,YEDec 2013,  A house you own,
354,2013,4,YEDec 2013,  Another place where you pay to park a caravan or campervan / motorhome overnight,7584
355,2013,4,YEDec 2013,  Backpackers,112235
356,2013,4,YEDec 2013,  Bed and Breakfast,38370
357,2013,4,YEDec 2013,  Camping at a National Park / Department of Conservation camping ground,12248
358,2013,4,YEDec 2013,  Farm-stay or Home-stay,9550
359,2013,4,YEDec 2013,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",12023
360,2013,4,YEDec 2013,  Hotel,624406
361,2013,4,YEDec 2013,  House / flat that you paid some rent for,199157
362,2013,4,YEDec 2013,  In a hut at a National Park / Department of Conservation area,14804
363,2013,4,YEDec 2013,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",95915
364,2013,4,YEDec 2013,  Marae,1238
365,2013,4,YEDec 2013,"  Motel, Motor Inn or Serviced Apartment",334657
366,2013,4,YEDec 2013,  NOT SURE,98844
